ID,CarID,Code,CodeID
0,1,0100,1000
1,1,0101,1001
2,1,0102,1002
3,1,0103,1003
4,1,0104,1004
5,1,0105,1005
6,1,0106,1006
7,1,0107,1007
8,1,0108,1008
9,1,0109,1009
10,1,010A,1010
11,1,010B,1011
12,1,010C,1012
13,1,010D,1013
14,1,010E,1014
15,1,010F,1015
16,1,0110,1016
17,1,0111,1017
18,1,0112,1018
19,1,0113,1019
20,1,0114,1020
21,1,0115,1021
22,1,0116,1022
23,1,0117,1023
24,1,0118,1024
25,1,0119,1025
26,1,011A,1026
27,1,011B,1027
28,1,011C,1028
29,1,011D,1029
30,1,011E,1030
31,1,011F,1031
32,1,0120,1032
33,1,0121,1033
34,1,0122,1034
35,1,0123,1035
36,1,0124,1036
37,1,0125,1037
38,1,0126,1038
39,1,0127,1039
40,1,0128,1040
41,1,0129,1041
42,1,012A,1042
43,1,012B,1043
44,1,012C,1044
45,1,012D,1045
46,1,012E,1046
47,1,012F,1047
48,1,0130,1048
49,1,0131,1049
50,1,0132,1050
51,1,0133,1051
52,1,0134,1052
53,1,0135,1053
54,1,0136,1054
55,1,0137,1055
56,1,0138,1056
57,1,0139,1057
58,1,013A,1058
59,1,013B,1059
60,1,013C,1060
61,1,013D,1061
62,1,013E,1062
63,1,013F,1063
64,1,0140,1064
65,1,0141,1065
66,1,0142,1066
67,1,0143,1067
68,1,0144,1068
69,1,0145,1069
70,1,0146,1070
71,1,0147,1071
72,1,0148,1072
73,1,0149,1073
74,1,014A,1074
75,1,014B,1075
76,1,014C,1076
77,1,014D,1077
78,1,014E,1078
79,1,014F,1079
80,1,0150,1080
81,1,0151,1081
82,1,0152,1082
83,1,0153,1083
84,1,0154,1084
85,1,0155,1085
86,1,0156,1086
87,1,0157,1087
88,1,0158,1088
89,1,0159,1089
90,1,015A,1090
91,1,015B,1091
92,1,015C,1092
93,1,015D,1093
94,1,015E,1094
95,1,015F,1095
96,1,0160,1096
97,1,0161,1097
98,1,0162,1098
99,1,0163,1099
100,1,0164,1100
101,1,0165,1101
102,1,0166,1102
103,1,0167,1103
104,1,0168,1104
105,1,0169,1105
106,1,016A,1106
107,1,016B,1107
108,1,016C,1108
109,1,016D,1109
110,1,016E,1110
111,1,016F,1111
112,1,0170,1112
113,1,0171,1113
114,1,0172,1114
115,1,0173,1115
116,1,0174,1116
117,1,0175,1117
118,1,0176,1118
119,1,0177,1119
120,1,0178,1120
121,1,0179,1121
122,1,017A,1122
123,1,017B,1123
124,1,017C,1124
125,1,017D,1125
126,1,017E,1126
127,1,017F,1127
128,1,0180,1128
129,1,0181,1129
130,1,0182,1130
131,1,0183,1131
132,1,0184,1132
133,1,0185,1133
134,2,0100,1000
135,2,0101,1001
136,2,0102,1002
137,2,0103,1003
138,2,0104,1004
139,2,0105,1005
140,2,0106,1006
141,2,0107,1007
142,2,0108,1008
143,2,0109,1009
144,2,010A,1010
145,2,010B,1011
146,2,010C,1012
147,2,010D,1013
148,2,010E,1014
149,2,010F,1015
150,2,0110,1016
151,2,0111,1017
152,2,0112,1018
153,2,0113,1019
154,2,0114,1020
155,2,0115,1021
156,2,0116,1022
157,2,0117,1023
158,2,0118,1024
159,2,0119,1025
160,2,011A,1026
161,2,011B,1027
162,2,011C,1028
163,2,011D,1029
164,2,011E,1030
165,2,011F,1031
166,2,0120,1032
167,2,0121,1033
168,2,0122,1034
169,2,0123,1035
170,2,0124,1036
171,2,0125,1037
172,2,0126,1038
173,2,0127,1039
174,2,0128,1040
175,2,0129,1041
176,2,012A,1042
177,2,012B,1043
178,2,012C,1044
179,2,012D,1045
180,2,012E,1046
181,2,012F,1047
182,2,0130,1048
183,2,0131,1049
184,2,0132,1050
185,2,0133,1051
186,2,0134,1052
187,2,0135,1053
188,2,0136,1054
189,2,0137,1055
190,2,0138,1056
191,2,0139,1057
192,2,013A,1058
193,2,013B,1059
194,2,013C,1060
195,2,013D,1061
196,2,013E,1062
197,2,013F,1063
198,2,0140,1064
199,2,0141,1065
