,VIN,DEV,PID,VAL,TMSTP
81,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:53.221
82,14490201544D42,1337,010C,0D14,2018-01-29 22:05:53.268
83,14490201544D42,1337,010C,0D14,2018-01-29 22:05:53.330
84,14490201544D42,1337,010C,0D24,2018-01-29 22:05:53.596
85,14490201544D42,1337,010C,0D2C,2018-01-29 22:05:53.643
86,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:53.705
87,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:53.783
88,14490201544D42,1337,010C,0D10,2018-01-29 22:05:53.830
89,14490201544D42,1337,010C,0D24,2018-01-29 22:05:53.893
90,14490201544D42,1337,010C,0D24,2018-01-29 22:05:53.955
91,14490201544D42,1337,010C,0D2C,2018-01-29 22:05:54.002
92,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:54.065
93,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:54.127
94,14490201544D42,1337,010C,0D14,2018-01-29 22:05:54.174
95,14490201544D42,1337,010C,0D30,2018-01-29 22:05:54.237
96,14490201544D42,1337,010C,0D30,2018-01-29 22:05:54.283
97,14490201544D42,1337,010C,0D34,2018-01-29 22:05:54.346
98,14490201544D42,1337,010C,0D0C,2018-01-29 22:05:54.408
99,14490201544D42,1337,010C,0D0C,2018-01-29 22:05:54.471
