,VIN,DEV,PID,VAL,TMSTP
0,11111111111111111,1,0104,34,2018-01-29 22:06:00.199
1,11111111111111111,1,0105,77,2018-01-29 22:06:00.246
2,11111111111111111,1,010B,66,2018-01-29 22:06:00.293
3,11111111111111111,1,010C,0000,2018-01-29 22:06:00.355
4,11111111111111111,1,010D,00,2018-01-29 22:06:00.418
5,11111111111111111,1,010F,38,2018-01-29 22:06:00.465
6,11111111111111111,1,0110,01DB,2018-01-29 22:06:00.512
7,11111111111111111,1,0111,DA,2018-01-29 22:06:00.558
8,11111111111111111,1,0113,00,2018-01-29 22:06:00.621
9,11111111111111111,1,0123,00B4,2018-01-29 22:06:00.668
10,11111111111111111,1,0130,FF,2018-01-29 22:06:00.715
11,14490201544D42,1337,010C,0D0C,2018-01-29 22:06:00.762
12,14490201544D42,1337,010C,0D18,2018-01-29 22:06:00.809
13,14490201544D42,1337,010C,0D0C,2018-01-29 22:06:00.855
14,14490201544D42,1337,010C,0D0C,2018-01-29 22:06:00.902
15,14490201544D42,1337,010C,0D14,2018-01-29 22:06:00.949
16,14490201544D42,1337,010C,0CFC,2018-01-29 22:06:00.996
17,14490201544D42,1337,010C,0CFC,2018-01-29 22:06:01.043
18,14490201544D42,1337,010C,0CDC,2018-01-29 22:06:01.090
19,14490201544D42,1337,010C,0CEC,2018-01-29 22:06:01.137
20,14490201544D42,1337,010C,0CEC,2018-01-29 22:06:01.199
21,14490201544D42,1337,010C,0CEC,2018-01-29 22:06:01.246
22,14490201544D42,1337,010C,0CEC,2018-01-29 22:06:01.293
23,14490201544D42,1337,010C,0CE8,2018-01-29 22:06:01.355
24,14490201544D42,1337,010C,0CD8,2018-01-29 22:06:01.402
25,14490201544D42,1337,010C,0CD8,2018-01-29 22:06:01.449
26,14490201544D42,1337,010C,0CEC,2018-01-29 22:06:01.496
27,14490201544D42,1337,010C,0CFC,2018-01-29 22:06:01.543
28,14490201544D42,1337,010C,0D08,2018-01-29 22:06:01.605
29,14490201544D42,1337,010C,0D08,2018-01-29 22:06:01.652
30,14490201544D42,1337,010C,0D08,2018-01-29 22:06:01.699
31,14490201544D42,1337,010C,0D14,2018-01-29 22:06:01.762
32,14490201544D42,1337,010C,0D20,2018-01-29 22:06:01.809
33,14490201544D42,1337,010C,0D20,2018-01-29 22:06:01.871
34,14490201544D42,1337,010C,0D20,2018-01-29 22:06:01.918
35,14490201544D42,1337,010C,0D20,2018-01-29 22:06:01.981
36,14490201544D42,1337,010C,0D08,2018-01-29 22:06:02.027
37,14490201544D42,1337,010C,0D08,2018-01-29 22:06:02.074
38,14490201544D42,1337,010C,0D18,2018-01-29 22:06:02.262
39,14490201544D42,1337,010C,0D2C,2018-01-29 22:06:02.324
40,14490201544D42,1337,010C,0D2C,2018-01-29 22:06:02.371
